"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
13	1113	91	0.00125083291444069	428
11	1121	131	0.00140003804451208	368
4	1122	95	0.0013217112920362	469
5	1122	169	0.000510176316935133	225
6	1122	76	0.00281087133068935	1426
7	1122	127	0.00119198262123888	552
8	1122	85	0.00206664944458796	912
9	1122	83	0.00219736797721676	912
10	1122	97	0.00156740250616465	560
12	1122	46	0.00531110974240407	1121
8	1135	117	0.00111263692685602	491
5	1211	160	0.00086843346393847	383
6	1211	111	0.0017622152662246	894
8	1211	57	0.00324953432405607	1434
9	1211	79	0.00227205921328444	943
10	1211	55	0.00370298842081399	1323
13	1211	88	0.00127421296891622	436
7	1212	168	0.000408124484445922	189
8	1212	114	0.00115342606063078	509
9	1212	92	0.00182150240216653	756
11	1212	126	0.00148373597108617	390
13	1212	78	0.00202529721894252	693
6	1221	100	0.00198298496400665	1006
9	1221	60	0.00329123317640142	1366
11	1221	113	0.00155602054403652	409
5	1223	79	0.00243070671890872	1072
6	1223	163	0.000798318996444031	405
8	1223	143	0.000876966376157392	387
10	1223	84	0.00234270696010681	837
11	1223	109	0.0016359140194027	430
8	1224	112	0.00120327944635549	531
10	1224	77	0.00253863227337739	907
12	1224	114	0.00106601221413106	225
5	1314	138	0.000988608329705413	436
6	1314	21	0.00837545040960664	4249
7	1314	102	0.00183332109679676	849
8	1314	66	0.00272154164797165	1201
9	1314	122	0.000999898805422102	415
11	1314	132	0.00136579798364086	359
12	1314	90	0.00206569477938285	436
13	1314	37	0.00524005470932747	1793
6	1315	99	0.00202043696630897	1025
7	1315	86	0.00249193468280738	1154
8	1315	154	0.000829379053420169	366
11	1315	56	0.00393760700019022	1035
13	1315	102	0.00116315771015746	398
7	1322	119	0.00154396299671341	715
4	1323	102	0.00117234946159287	416
5	1411	21	0.00805625090698012	3553
6	1411	9	0.0141588280282901	7183
7	1411	55	0.0042539959489866	1970
8	1411	24	0.007638898330818	3371
9	1411	57	0.0033538774389098	1392
10	1411	30	0.00649072573534968	2319
11	1411	36	0.00568765455583032	1495
13	1411	71	0.00229709035222052	786
5	1412	166	0.000752793498766507	332
6	1412	36	0.0056729927697924	2878
7	1412	123	0.00123732978617732	573
8	1412	93	0.00187630015363907	828
9	1412	120	0.00100230820013396	416
12	1412	30	0.00669455670474304	1413
13	1412	25	0.00711922658779795	2436
7	1421	162	0.000803292636052292	372
6	1422	88	0.00224909129615466	1141
7	1422	99	0.00191969664906045	889
5	1511	120	0.00159175010883761	702
6	1511	69	0.00314793935141017	1597
7	1511	52	0.0045303977162304	2098
8	1511	125	0.00102879259631901	454
9	1511	105	0.00123361009247257	512
12	1511	85	0.0022125675733298	467
7	1512	47	0.00483055276034671	2237
8	1512	119	0.00106731566710628	471
9	1512	125	0.00099026122657466	411
11	1512	76	0.00289138291801408	760
6	1521	169	0.000743126571998518	377
11	1521	97	0.0017804831653034	468
6	1523	53	0.00393246024174282	1995
9	1523	119	0.00103603972610001	430
10	1524	101	0.0014750377156228	527
6	1526	162	0.000806203628507676	409
5	1614	152	0.000904712668698302	399
6	1614	42	0.00496534704208028	2519
8	1614	106	0.00143894999705412	635
12	1614	67	0.00365760635248523	772
4	1615	48	0.00370586428364093	1315
6	1615	102	0.00195735990979981	993
9	1615	102	0.00132757648623513	551
10	1615	123	0.00111677428564231	399
11	1615	127	0.00148373597108617	390
7	1621	137	0.00101059396148514	468
11	1622	121	0.00151417158074948	398
6	1623	104	0.00192385022352932	976
7	1623	161	0.000809770802472068	375
9	1623	58	0.00331773651823189	1377
13	1623	66	0.00270039629192336	924
4	1711	120	0.00102580577889376	364
5	1711	147	0.000938724423160644	414
7	1711	131	0.00109912890255542	509
13	1711	81	0.00165706136095297	567
5	1722	106	0.00185477434334639	818
7	1722	105	0.00179013332066492	829
8	1722	136	0.000931351887857075	411
9	1722	117	0.00104326791023559	433
10	1722	86	0.00232591336182647	831
11	1723	91	0.00189842115274872	499
5	2111	85	0.00231506675373676	1021
6	2111	120	0.00158875336082442	806
8	2111	79	0.00227965936541172	1006
