Clave,Autor,Titulo,Precio,
123321,Alejandro Dumas,Los tres mosqueteros,350,
135426,Arthur Conan Doyle,Las aventuras de Sherlock Holmes,345,
124578,Benito Perez Galdos,Marianela,234,
235678,Charles Dickens,Cuento de Navidad,345,
987654,Charles Dickens,Historia de dos ciudades,234,
986532,Charles Dickens,Oliver Twist,432,
876521,Edgar Allan Poe,El gato negro,34,
124567,Edgar Allan Poe,Los crimenes de la Rue Morge,123,
234590,Fedor Dostoiewski,Crimen y castigo,234,
102938,Fernando de Rojas,La celestina,345,
457812,Franz Kafka,La metamorfosis,456,
567890,Gustave Flaubert,Madame Bovary,321,
124576,Jack Londo,Colmillo Blanco,432,
113366,JM Barrie,Peter Pan,321,
124577,Johann Wolfang Goethe,Fausto,21,
987066,Julio Verne,De la tierra a la Luna,21,
667788,Julio Verne,La vuelta al mundo en 80 dias,321,
335578,Leon Tolstoi,Ana Karenina,231,
123345,Leon Tolstoi,Guerra y Paz,231,
345677,Lewis Carroll,Alicia en el pais de las maravillas,234,
345789,Lope de Vega,Fuenteovejuna,234,
987234,Mark Twain,El principe y el mendigo,343,
567432,Mark Twain,Las aventuras de Huckleberry Finn,34,
789654,Mark Twain,Las aventuras de Tom Sawyer,54,
786655,Mary Shelley,Frankenstein,223,
443366,Miguel de Cervantes Saavedra,Don Quijote de la Mancha,123,
347890,Miguel de Unamuno,La tia Tula,123,
235473,Miguel de Unamuno,Niebla,189,
123654,Moliere,Las preciosas ridiculas,178,
876555,Moliere,Tartufo,289,
445677,Oscar Wilde,El fantasma de Canterville,389,
665523,Oscar Wilde,El retrato de Dorian Gray,289,
907866,Oscar Wilde,La importancia de Llamarse Ernesto,186,
678955,Ruben Dario,Azul,278,
456733,Tomas Moro,Utopia,378,
554677,Victor Hugo,Los miresables,27,
334466,William Shakespeare,El mercader de venecia,387,
889906,William Shakespeare,El Rey Lear,188,
234567,William Shakespeare,Romeo y Julieta,288,
986543,William Shakespeare,Sueño de una noche de verano,178,
